Date Time,FL,RF,AP,,,
6.13.2023 10:32:00,715,20,1007.72998,,,
6.13.2023 10:33:00,725,15,1007.79999,,,
6.13.2023 10:34:00,701,15,1007.73999,,,
6.13.2023 10:35:00,770,45,1007.84998,,,
6.13.2023 10:36:00,726,5,1007.84003,,,
6.13.2023 10:37:00,734,25,1007.82001,,,
6.13.2023 10:38:00,646,25,1007.78998,,,
6.13.2023 10:39:00,757,0,1007.77002,,,
6.13.2023 10:40:00,750,0,1007.85999,,,
6.13.2023 10:41:00,731,10,1007.88,,,
6.13.2023 10:42:00,775,25,1007.88,,,
6.13.2023 10:43:00,736,35,1007.79999,,,
6.13.2023 10:44:00,764,50,1007.88,,,
6.13.2023 10:45:00,794,5,1007.84998,,,
6.13.2023 10:46:00,756,15,1007.84998,,,
6.13.2023 10:47:00,762,35,1007.77002,,,
6.13.2023 10:48:00,289,45,1007.66998,,,
6.13.2023 10:49:00,245,5,1007.62,,,
6.13.2023 10:50:00,605,35,1007.85999,,,
6.13.2023 10:51:00,159,20,1007.77002,,,
6.13.2023 10:52:00,439,15,1007.72998,,,
6.13.2023 10:53:00,559,30,1007.90002,,,
6.13.2023 10:54:00,764,15,1007.90002,,,
6.13.2023 10:55:00,500,15,1007.71997,,,
6.13.2023 10:56:00,360,35,1007.64001,,,
6.13.2023 10:57:00,138,30,1007.65002,,,
6.13.2023 10:58:00,125,10,1007.59998,,,
6.13.2023 10:59:00,126,10,1007.65002,,,
6.13.2023 11:00:00,126,30,1007.62,,,
6.13.2023 11:01:00,142,30,1007.78003,,,
6.13.2023 11:02:00,144,25,1007.71997,,,
6.13.2023 11:03:00,138,25,1007.71997,,,
6.13.2023 11:04:00,126,0,1007.66998,,,
6.13.2023 11:05:00,117,35,1007.67999,,,
6.13.2023 11:06:00,111,10,1007.65997,,,
6.13.2023 11:07:00,116,35,1007.65997,,,
6.13.2023 11:08:00,114,5,1007.59998,,,
6.13.2023 11:09:00,120,10,1007.62,,,
6.13.2023 11:10:00,136,15,1007.81,,,
6.13.2023 11:11:00,145,0,1007.73999,,,
6.13.2023 11:12:00,171,20,1007.65997,,,
6.13.2023 11:13:00,156,30,1007.65997,,,
6.13.2023 11:14:00,169,25,1007.65002,,,
6.13.2023 11:15:00,129,25,1007.65002,,,
6.13.2023 11:16:00,123,25,1007.60999,,,
6.13.2023 11:17:00,134,25,1007.64001,,,
6.13.2023 11:18:00,130,10,1007.65002,,,
6.13.2023 11:19:00,115,5,1007.59003,,,
6.13.2023 11:20:00,129,10,1007.66998,,,
6.13.2023 11:21:00,130,20,1007.59003,,,
6.13.2023 11:22:00,156,10,1007.63,,,
6.13.2023 11:23:00,164,0,1007.70001,,,
6.13.2023 11:24:00,145,15,1007.67999,,,
6.13.2023 11:25:00,140,5,1007.67999,,,
6.13.2023 11:26:00,155,0,1007.59998,,,
6.13.2023 11:27:00,152,30,1007.60999,,,
6.13.2023 11:28:00,124,0,1007.60999,,,
6.13.2023 11:29:00,140,0,1007.60999,,,
6.13.2023 11:30:00,138,0,1007.70001,,,
6.13.2023 11:31:00,137,0,1007.64001,,,
6.13.2023 11:32:00,139,0,1007.63,,,
6.13.2023 11:33:00,165,0,1007.60999,,,
6.13.2023 11:34:00,156,0,1007.65002,,,
6.13.2023 11:35:00,154,5,1007.58002,,,
6.13.2023 11:36:00,175,5,1007.5,,,
6.13.2023 11:37:00,138,0,1007.65997,,,
6.13.2023 11:38:00,160,0,1007.66998,,,
6.13.2023 11:39:00,118,0,1007.52002,,,
6.13.2023 11:40:00,134,0,1007.59003,,,
6.13.2023 11:41:00,178,0,1007.62,,,
6.13.2023 11:42:00,174,0,1007.53998,,,
6.13.2023 11:43:00,156,0,1007.5,,,
6.13.2023 11:44:00,155,0,1007.51001,,,
6.13.2023 11:45:00,168,0,1007.45001,,,
6.13.2023 11:46:00,156,0,1007.54999,,,
6.13.2023 11:47:00,148,0,1007.60999,,,
6.13.2023 11:48:00,144,0,1007.58002,,,
6.13.2023 11:49:00,198,0,1007.56,,,
6.13.2023 11:50:00,171,0,1007.53003,,,
6.13.2023 11:51:00,185,0,1007.65002,,,
6.13.2023 11:52:00,168,0,1007.54999,,,
6.13.2023 11:53:00,145,0,1007.59003,,,
6.13.2023 11:54:00,168,0,1007.63,,,
6.13.2023 11:55:00,158,0,1007.71002,,,
6.13.2023 11:56:00,194,0,1007.65997,,,
6.13.2023 11:57:00,205,5,1007.71997,,,
6.13.2023 11:58:00,154,0,1007.65997,,,
6.13.2023 11:59:00,158,0,1007.72998,,,
6.13.2023 12:00:00,162,0,1007.72998,,,
6.13.2023 12:01:00,156,5,1007.69,,,
6.13.2023 12:02:00,151,0,1007.65002,,,
6.13.2023 12:03:00,176,0,1007.65997,,,
6.13.2023 12:04:00,197,0,1007.65002,,,
6.13.2023 12:05:00,171,0,1007.65002,,,
6.13.2023 12:06:00,167,0,1007.63,,,
6.13.2023 12:07:00,181,5,1007.65997,,,
6.13.2023 12:08:00,170,0,1007.66998,,,
6.13.2023 12:09:00,168,0,1007.65997,,,
6.13.2023 12:10:00,147,0,1007.62,,,
6.13.2023 12:11:00,169,0,1007.65997,,,
